"","V1","V2","V3","V4","V5"
"1","0.0121212121212121","0","0","-0.0189860513023489","pn500"
"2","0.0278787878787879","0.0157575757575758","0","-0.00338379662775304","pn500"
"3","0.0427272727272727","0.0304656749311295","0.000233976124885216","0.0111301307611322","pn500"
"4","0.056969696969697","0.0444477561332332","0.000667881192086151","0.0248839579085274","pn500"
"5","0.0724242424242424","0.0594901496672704","0.00135480105959975","0.0396361031078662","pn500"
"6","0.0863636363636364","0.072931989627629","0.00218405769132534","0.0527755705149916","pn500"
"7","0.101515151515152","0.0874204866916203","0.00328908783719851","0.0668967236487809","pn500"
"8","0.115757575757576","0.10091586313868","0.00453416749613977","0.0800083049658217","pn500"
"9","0.130606060606061","0.114865279388293","0.00603261516092622","0.0935209239713931","pn500"
"10","0.145151515151515","0.128408273313631","0.00770338286111957","0.10659959306039","pn500"
"11","0.16","0.142112757181686","0.00961005116183713","0.119794657852598","pn500"
"12","0.174545454545455","0.155417954937191","0.0116771458117526","0.132566405931053","pn500"
"13","0.189393939393939","0.168881807096235","0.0139848669608199","0.145452252502135","pn500"
"14","0.203939393939394","0.181953384052486","0.0164413296094925","0.157925138136108","pn500"
"15","0.218787878787879","0.195180829661231","0.0191430616757263","0.170509887064876","pn500"
"16","0.233333333333333","0.208022887875097","0.0219820555617079","0.182691760468796","pn500"
"17","0.247878787878788","0.22075286994455","0.0250078430217093","0.194732478317817","pn500"
"18","0.261818181818182","0.232845967153499","0.0280850042391182","0.206138005064233","pn500"
"19","0.276666666666667","0.245620006112798","0.0315424140544277","0.21815285683468","pn500"
"20","0.292121212121212","0.258796984237934","0.0353383596034437","0.230510852924945","pn500"
"21","0.306363636363636","0.270827870615052","0.0390242560456203","0.241760264879086","pn500"
"22","0.320909090909091","0.283009736471503","0.0429635705272938","0.252205252716491","pn500"
"23","0.335454545454545","0.295085287862297","0.0470800757850611","0.262082087530937","pn500"
"24","0.34969696969697","0.306806074190261","0.0512828056424938","0.271627166844407","pn500"
"25","0.365151515151515","0.319415690593224","0.0560243540617978","0.281852456674692","pn500"
"26","0.38","0.331418472016424","0.0607671931039396","0.291540799548764","pn500"
"27","0.394242424242424","0.342828774770708","0.0654873955841736","0.300710154265117","pn500"
"28","0.409090909090909","0.354622966898508","0.0705778834519811","0.310147779441921","pn500"
"29","0.423030303030303","0.365596423296569","0.075521112687536","0.318889831518629","pn500"
"30","0.437272727272727","0.376714659921732","0.0807280920496387","0.327710465579913","pn500"
"31","0.442121212121212","0.380467247577717","0.0825545873704713","0.330675019031045","pn500"
"32","0.440606060606061","0.378721509851913","0.0819781218438384","0.329469068983185","pn500"
"33","0.429393939393939","0.365810880050153","0.0777318503697412","0.320540317715207","pn500"
"34","0.413333333333333","0.347400216214679","0.0718567059325721","0.307702340134113","pn500"
"35","0.398787878787879","0.330833524047612","0.0668036118785404","0.296013024470183","pn500"
"36","0.383939393939394","0.31402008857145","0.0618912353093486","0.284022085876013","pn500"
"37","0.368787878787879","0.296965421367987","0.0571333551794781","0.271725634691957","pn500"
"38","0.354242424242424","0.2806921680073","0.0528138581413983","0.259861218100952","pn500"
"39","0.339393939393939","0.264176541797317","0.0486460047376536","0.247690692980546","pn500"
"40","0.324545454545455","0.247759008397552","0.044723383359451","0.235459731935938","pn500"
"41","0.31030303030303","0.232105108592135","0.0411946944519707","0.223598213068322","pn500"
"42","0.296666666666667","0.217202717090724","0.0380296247893507","0.21098850525903","pn500"
"43","0.282121212121212","0.201393537645832","0.0348703125407583","0.197482991832881","pn500"
"44","0.266666666666667","0.184694013958567","0.0317578669589591","0.183070599908135","pn500"
"45","0.252727272727273","0.169724810971646","0.0291833443401427","0.17001077738801","pn500"
"46","0.238181818181818","0.154191866616902","0.0267146198169188","0.1563259665658","pn500"
