"","V1","V2","V3","V4","V5"
"1","0.000303030303030303","0","0","-0.00157251547145485","pn500csh"
"2","0.00636363636363636","0.00606060606060606","0","0.00448738879437515","pn500csh"
"3","0.0312121212121212","0.0308187327823692","0.000150596877869605","0.0292408815865397","pn500csh"
"4","0.0545454545454545","0.0537206038567493","0.000869700642791552","0.0522316918532869","pn500csh"
"5","0.0781818181818182","0.076595111656599","0.00213946037031472","0.0753129498627075","pn500csh"
"6","0.102121212121212","0.0994343212649255","0.00397310092209391","0.0984786079219994","pn500csh"
"7","0.125757575757576","0.121660525436077","0.00632336669744669","0.121141556948807","pn500csh"
"8","0.149090909090909","0.143290611413306","0.00916211229095516","0.143311773799205","pn500csh"
"9","0.173636363636364","0.165725786045219","0.0126792454801909","0.166425713481922","pn500csh"
"10","0.197878787878788","0.187557653399713","0.0166968402934083","0.189040293102772","pn500csh"
"11","0.220909090909091","0.207996250673947","0.0210163498868562","0.210325376309949","pn500csh"
"12","0.244545454545455","0.228682849300753","0.0259326249027859","0.23197864518798","pn500csh"
"13","0.267575757575758","0.248553171140718","0.0311992602200153","0.252886581026482","pn500csh"
"14","0.290606060606061","0.268148921260713","0.0369235150705288","0.273611019418086","pn500csh"
"15","0.314242424242424","0.287982445650106","0.0432615804821457","0.294694233800225","pn500csh"
"16","0.337878787878788","0.307534694602705","0.0500684382884209","0.31558773659409","pn500csh"
"17","0.362121212121212","0.327303886923635","0.0575238248242441","0.336824213335011","pn500csh"
"18","0.385454545454545","0.346054965840038","0.0651609155191289","0.35707592613076","pn500csh"
"19","0.408787878787879","0.364543529651611","0.0732355313887298","0.377148029368833","pn500csh"
"20","0.432727272727273","0.383246752892372","0.0819624825531168","0.397558898378743","pn500csh"
"21","0.456060606060606","0.401214631685212","0.0909049067872722","0.417272235506003","pn500csh"
"22","0.45969696969697","0.403975617943354","0.0923638690843093","0.420317455565436","pn500csh"
"23","0.459090909090909","0.403271623854155","0.0921190353764649","0.41964422878878","pn500csh"
"24","0.438484848484849","0.379341627439358","0.0838091958546217","0.396757382111888","pn500csh"
"25","0.414545454545454","0.351769750037211","0.07472798719774","0.370318241546523","pn500csh"
"26","0.390909090909091","0.324807563309586","0.0664134294695878","0.344385022929369","pn500csh"
"27","0.367272727272727","0.298100291801932","0.0587361597913612","0.318619708743316","pn500csh"
"28","0.342727272727273","0.270628034391513","0.0514191526289502","0.292036562752665","pn500csh"
"29","0.319393939393939","0.244768839403859","0.0451044984931482","0.266936019754806","pn500csh"
"30","0.295757575757576","0.218818297649495","0.0393190531981479","0.241671855014766","pn500csh"
"31","0.272121212121212","0.193113106471718","0.0341469843446144","0.216571076816236","pn500csh"
