"","e","f"
"1",0,0
"2",0,0.0157575757575758
"3",0.000233976124885216,0.0304656749311295
"4",0.000667881192086152,0.0444477561332332
"5",0.00135480105959975,0.0594901496672704
"6",0.00218405769132535,0.0729319896276291
"7",0.00328908783719855,0.0874204866916208
"8",0.00453416749613979,0.10091586313868
"9",0.00603261516092627,0.114865279388293
"10",0.00770338286111956,0.128408273313631
"11",0.00961005116183713,0.142112757181686
"12",0.0116771458117526,0.155417954937191
"13",0.0139848669608199,0.168881807096235
"14",0.0164413296094925,0.181953384052486
"15",0.0191430616757264,0.195180829661231
"16",0.0219820555617078,0.208022887875096
"17",0.0250078430217093,0.22075286994455
"18",0.0280850042391182,0.232845967153499
"19",0.0315424140544278,0.245620006112798
"20",0.0353383596034436,0.258796984237934
"21",0.0390242560456202,0.270827870615052
"22",0.0429635705272938,0.283009736471503
"23",0.047080075785061,0.295085287862296
"24",0.0512828056424939,0.306806074190262
"25",0.0560243540617978,0.319415690593224
"26",0.0607671931039396,0.331418472016424
"27",0.0654873955841735,0.342828774770708
"28",0.070577883451981,0.354622966898508
"29",0.075521112687536,0.365596423296569
"30",0.0807280920496386,0.376714659921732
"31",0.0825545873704713,0.380467247577717
"32",0.0819781218438386,0.378721509851913
"33",0.077731850369741,0.365810880050152
"34",0.071856705932572,0.347400216214678
"35",0.0668036118785405,0.330833524047612
"36",0.0618912353093486,0.31402008857145
"37",0.0571333551794782,0.296965421367987
"38",0.0528138581413983,0.2806921680073
"39",0.0486460047376535,0.264176541797317
"40",0.0447233833594511,0.247759008397552
"41",0.0411946944519706,0.232105108592135
"42",0.0380296247893507,0.217202717090724
"43",0.0348703125407583,0.201393537645832
"44",0.0317578669589592,0.184694013958567
"45",0.0291833443401428,0.169724810971647
"46",0.0267146198169187,0.154191866616902
"47",0.0244251042216981,0.138427575530329
"48",0.0223277167136628,0.1224371053756
"49",0.0205839155158891,0.107497160654066
"50",0.0190203204518299,0.0923262680829875
"51",0.0176494152590826,0.0769294211574046
"52",0.0165071299146242,0.0616240221711362
"53",0.0156481283934508,0.0473410276232728
"54",0.0149308400961285,0.0319025971528289
"55",0.01446680231936,0.0171715274966665
"56",0.0142066276603196,0.00191594248153526
"57",0.0141799205833043,-0.0120341342886648
"58",0.0143586092439541,-0.0267754059407598
"59",0.0147399559346256,-0.0407890221687811
"60",0.0153456111122832,-0.0552741139106714
"61",0.0161495982237112,-0.0693371761892691
"62",0.0171791502337943,-0.0835679298317041
"63",0.0183693601435185,-0.0970962281282938
"64",0.0197816689162937,-0.110794297410083
"65",0.0214267963626859,-0.124655705790733
"66",0.0231644213524961,-0.137552524736241
"67",0.025206867931913,-0.151175541637075
"68",0.0274515956713726,-0.164677189841884
"69",0.0298469002508909,-0.177785461639628
"70",0.0324328706020128,-0.19077933397441
"71",0.0352656546519359,-0.203928148392941
"72",0.0381082894477163,-0.216161961454867
"73",0.0414489743065641,-0.229612095994103
