"","V1","V2","V3","V4","V5"
"1","0.0148484848484848","0","0","0.0126667371281716","pn500c"
"2","0.0321212121212121","0.0172727272727273","0","0.0295871123502122","pn500c"
"3","0.0490909090909091","0.0340665564738292","0.000293112947658402","0.0459003151205033","pn500c"
"4","0.0654545454545455","0.0500957211920861","0.000850565689957426","0.0614580257161552","pn500c"
"5","0.0818181818181818","0.0659675086567457","0.00167031385491884","0.0768510078484232","pn500c"
"6","0.0978787878787879","0.0813924278157503","0.00272979202425445","0.0917991076366358","pn500c"
"7","0.114848484848485","0.0975334018840506","0.00411099685991567","0.107429464804101","pn500c"
"8","0.129393939393939","0.111227655831244","0.00552966452368367","0.120680204196935","pn500c"
"9","0.145757575757576","0.126499238846719","0.00734975343728585","0.135447454830091","pn500c"
"10","0.162727272727273","0.142180943566341","0.009496407187412","0.150600175509708","pn500c"
"11","0.178787878787879","0.15687144235258","0.0117799193113563","0.164784499483327","pn500c"
"12","0.194848484848485","0.171420378150516","0.0142993697491401","0.178822318107335","pn500c"
"13","0.211212121212121","0.186100978074129","0.0171044304825122","0.192977401297886","pn500c"
"14","0.227878787878788","0.200906634960054","0.0202061134504144","0.20724316362507","pn500c"
"15","0.244545454545455","0.215564235277121","0.0235545573664153","0.22135643773473","pn500c"
"16","0.260909090909091","0.229811422785309","0.0270819721254954","0.235065140386179","pn500c"
"17","0.277272727272727","0.243918728816144","0.0308425226801641","0.248630252319043","pn500c"
"18","0.293333333333333","0.257628845308158","0.034760005294484","0.261804844516645","pn500c"
"19","0.31030303030303","0.271975412216536","0.0391318887300164","0.275582315950717","pn500c"
"20","0.326363636363636","0.285415164304873","0.0434999786837971","0.288480503438474","pn500c"
"21","0.342727272727273","0.298976542691698","0.0481704086451496","0.301487475393007","pn500c"
"22","0.359090909090909","0.312404772999816","0.0530627520710137","0.314358876491413","pn500c"
"23","0.374242424242424","0.324716244760424","0.0577961577225261","0.326152779408432","pn500c"
"24","0.390606060606061","0.337891757993685","0.0631096962731512","0.338767482568661","pn500c"
"25","0.406363636363636","0.350454720766593","0.0684340512475972","0.350788759881485","pn500c"
"26","0.423030303030303","0.363616840225594","0.0742749632603737","0.363376440912442","pn500c"
"27","0.44030303030303","0.377121174790529","0.0805556177733612","0.376284043878278","pn500c"
"28","0.444242424242424","0.380169191407691","0.0820412466437482","0.379195806537997","pn500c"
"29","0.443636363636364","0.37947096857341","0.0818108410731981","0.37860153722142","pn500c"
"30","0.431515151515152","0.36550989721063","0.0772111929692779","0.366715829420904","pn500c"
"31","0.414545454545454","0.346059163362897","0.0710086007741884","0.350074910869029","pn500c"
"32","0.397878787878788","0.327085435607144","0.0652409480514735","0.333730142879556","pn500c"
"33","0.381515151515151","0.308580876392261","0.0598886409233566","0.317681604474012","pn500c"
"34","0.365151515151515","0.290197437928603","0.0548391356733014","0.301632150309529","pn500c"
"35","0.347878787878788","0.270919710175641","0.0498266344727165","0.284690092268673","pn500c"
"36","0.330909090909091","0.252111043052025","0.0452292090879177","0.268044323131695","pn500c"
